Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_verified,partial,True,"The test step directly references DOORS and demonstrates use of a 3rd-party tool, but it only covers a specific event flow rather than full requirement management behaviors."
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the provided test cases mention or assert management of non-requirement artifacts in third-party tools or specific tools named (Rational Rose, ClearCase). Tests focus on tracing, subscriber behavior, event messages, and requirement lifecycle, so there is no evidence of integrations, management operations (create/update/delete), error handling, synchronization, or authorization behaviors required by RQ101."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,assertions_verified,full,False,"The test's precondition and postcondition directly assert that a registered subscriber successfully establishes a trace, satisfying the requirement's allowance."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,assertions_verified,full,False,"The test's precondition and postcondition directly assert that a non-registered subscriber does not establish a trace, satisfying the requirement's prohibition."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,assertions_verified,full,False,"The step ""The subscriber registers itself with the subscriber manager."" and the postcondition ""The subscriber is registered under the subscriber manager."" directly match the requirement."
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,assertions_verified,full,False,"The test step and postcondition explicitly state that the subscriber performs registration with and is registered under the subscriber manager, directly matching the requirement."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,assertions_verified,full,False,"Direct positive evidence: explicitly performs and asserts successful trace creation between an artifact and a requirement, matching the requirement's core behaviour."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,assertions_verified,partial,False,Covers a negative/error path (unregistered subscriber cannot create trace) that complements the positive case but does not add additional positive establishment evidence.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC147,assertions_verified,partial,False,Demonstrates subscription existence and notification flow but does not explicitly show subscription creation originating from an artifact.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC155,assertions_verified,weak,False,Shows link establishment behavior but limited to requirement-to-requirement linking rather than artifact-to-requirement subscriptions required by the requirement.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC143,partially_verified,full,True,"Direct positive assertion that a subscriber becomes registered under a subscriber manager, which aligns with the requirement for subscriber-type artifacts."
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC144,partially_verified,partial,True,"Provides an error-path showing removal when a subscriber is not registered, but does not demonstrate placement or enforcement for non-subscriber artifact types."
RQ107,requirements.txt::chunk7,RQ107	The user shall be able to delete subscriptions.,TC145,assertions_verified,full,False,The test's postcondition 'The subscription has been deleted.' directly asserts the required deletion behavior.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC146,partially_verified,partial,True,Directly asserts the registration action and postcondition but does not assert that this registration enables reception of relevant event messages.
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC161,partially_verified,partial,True,Asserts that managers receive notification messages from the event server but does not assert that the manager performed registration with the event server.
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC147,partially_verified,full,True,"Contains explicit online precondition, names 'real time', and states the server 'sends' an event notification, directly addressing the requirement's condition and push mechanism."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC161,partially_verified,full,True,"Explicitly documents the event server building and sending notification messages to subscriber managers and managers receiving them, addressing push delivery."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC149,partially_verified,partial,True,"Shows that a notification is sent and received, but lacks online precondition and any measurable or asserted 'real time' timing or push-vs-poll verification."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC150,partially_verified,partial,True,"Demonstrates receipt and processing of messages but does not assert online precondition, quantified real-time delivery, or push-model enforcement."
RQ110,requirements.txt::chunk10,RQ110	Whenever the subscriber manager first comes on line; it shall implement the pull model to retrieve outstanding event messages from the eventserver.,TC148,assertions_verified,full,False,The postcondition explicitly asserts the core behavior required: upon coming online the subscriber manager obtains outstanding event notifications from the event server.
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC148,assertions_verified,full,False,"Postcondition asserts successful download of stored notifications after the subscriber manager comes online, covering the reconnect scenario."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC149,assertions_verified,full,False,"Direct assertions show send, receipt, and storage for a registered subscriber, matching the requirement's receive-on-behalf behavior."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC150,assertions_verified,full,False,"Speculative notification test asserts send, receipt, and processing by the subscriber manager for a registered subscriber."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC161,assertions_verified,full,False,End-to-end flow asserts the event server sends and the subscriber manager receives messages on behalf of its managed subscribers.
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC147,assertions_verified,partial,False,This test asserts that an event notification is sent but does not include an explicit assertion that the subscriber manager receives or persists the notification (Postconditions: is empty).
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC141,partially_verified,full,True,Directly asserts the core happy‑path behavior of creating/establishing a trace between an artifact and a requirement.
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC142,partially_verified,partial,True,Asserts an important negative/authorization behavior (prevents trace creation by non‑registered subscribers) but does not cover other management operations.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC152,partially_verified,partial,True,Directly verifies speculative identification but does not assert the complementary evolutionary classification or branching logic required to show full differentiation.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC149,partially_verified,weak,True,Shows a handling outcome for non-speculative events but lacks an assertion that the subscriber manager parsed/classified the message as evolutionary or took a distinct classification-dependent path.
RQ114,requirements.txt::chunk14,RQ114	The subscriber manager shall store information for evolutionary events in an eventlog.,TC149,partially_verified,full,True,"The postcondition explicitly states that the event notification message is stored in the local event log, directly addressing the requirement's core behavior."
RQ115,requirements.txt::chunk15,RQ115	The user shall be able to construct speculative queries using a GUI.,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the provided test case descriptions assert or verify the specific GUI-based activity required by RQ115. Several tests mention speculative queries or backend processing but do not show a user creating/specifying a speculative query via GUI controls or include assertions about GUI fields, submission, input validation, or confirmation."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC150,partially_verified,partial,True,Shows reception and processing of speculative event notifications but does not provide any assertion of immediacy or measurable timing bounds.
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC152,partially_verified,partial,True,Directly documents processing steps for speculative events (fulfills functional behavior) but contains no timing/latency assertion to verify 'immediately'.
RQ117,requirements.txt::chunk17,RQ117	The subscriber manager shall re execute the model using the speculative values.,TC152,assertions_verified,full,False,"The test sentence directly asserts injection of values (speculative inputs), re-execution of the model, collation of results, restoration, and returning of results, matching the requirement."
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC152,partially_verified,partial,True,Covers re-execution and returning results but does not assert that results indicate whether the speculative change negatively impacts other requirements/constraints.
