Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,assertions_verified,full,False,'Requirements shall be managed in a 3rd party requirements management tool such as DOORS.' is directly evidenced by 'The event server polls DOORS to obtain additional quantitative information for each of these additional requirements.'
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,NO_TEST_CASE,no_assertion_evidence,weak,True,"No candidate tests were provided and none of the available traceability information contains assertions that exercise management or integration with third-party tools named in RQ101 (Rational Rose, Clear case). Existing tests focus on trace establishment, subscriber/event processing, requirement deletion/decomposition/refinement, and DOORS polling, which do not verify storage/versioning/import/export/error-handling/authorization behaviors for non-requirement artifacts in Rational Rose or ClearCase."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,assertions_verified,full,False,Directly asserts the positive clause of RQ102 by specifying a registered subscriber precondition and a postcondition that a trace is established.
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,assertions_verified,full,False,Directly asserts the negative clause of RQ102 by specifying a non-registered subscriber precondition and a postcondition that no trace is established.
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,assertions_verified,full,False,"The test asserts the registration action and the postcondition that the subscriber is registered under the subscriber manager, matching the requirement."
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,assertions_verified,full,False,"The test contains an explicit postcondition statement asserting the subscriber is registered under the subscriber manager, directly matching the requirement."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,partially_verified,partial,True,Shows a trace is created between an artifact and a requirement but does not assert that the trace is created by establishing a subscription originating from the artifact.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,partially_verified,partial,True,Covers a negative/authorization path (unregistered subscriber cannot create a trace) but does not demonstrate artifact-initiated subscription creation.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC147,partially_verified,partial,True,Demonstrates subscription and notification mechanics for a subscriber manager but does not show an artifact itself initiating the subscription (artifact -> requirement direction not evidenced).
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC147,no_assertion_evidence,partial,True,Shows subscriber manager association with requirements and receipt of notifications but does not assert that each artifact is assigned to a subscriber manager.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC162,no_assertion_evidence,partial,True,Demonstrates artifact-centric processing and customized notifications but does not verify artifacts are placed under the control of a subscriber manager nor that every artifact has such assignment.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC143,no_assertion_evidence,weak,True,Illustrates subscriber registration under a manager but does not reference artifact assignment to a subscriber manager.
RQ107,requirements.txt::chunk7,RQ107	The user shall be able to delete subscriptions.,TC145,assertions_verified,full,False,"The test's Steps state the user deletes a subscription and its Postconditions assert that the subscription has been deleted, directly verifying the requirement's core behavior."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC146,assertions_verified,full,False,"The test step commands registration and the postcondition asserts the manager is registered, directly matching the requirement's action and outcome."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC147,partially_verified,partial,True,"States the subscriber manager is online and that an event notification is sent, but lacks timing bounds and explicit server-initiated/push confirmation."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC149,partially_verified,partial,True,"Shows send/receive and persistence consistent with push delivery, but does not assert online precondition as in chunk6 nor real-time/timing guarantees."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC150,partially_verified,partial,True,"Demonstrates send and receive and processing, but lacks explicit timing/real-time verification and server-initiated delivery assertion."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC161,partially_verified,partial,True,"Explicitly describes server-side construction and sending of notifications (supports push delivery) and receipt, but does not assert quantitative real-time delivery bounds or acknowledgement/retry behavior."
RQ110,requirements.txt::chunk10,RQ110	Whenever the subscriber manager first comes on line; it shall implement the pull model to retrieve outstanding event messages from the eventserver.,TC148,partially_verified,full,True,"The test directly sets the offline manager and outstanding event, brings the manager online, and asserts successful download of the outstanding notification, covering the happy-path pull-on-startup."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC148,partially_verified,full,True,"This test asserts recovery of missed notifications by the subscriber manager, verifying receipt in the offline-then-online scenario."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC149,partially_verified,full,True,"This test explicitly asserts receipt by the subscriber manager and storage of the notification, covering the core receive-and-persist behavior."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC150,partially_verified,full,True,"This test explicitly asserts receipt and processing of notifications by the subscriber manager, covering the core receive-and-handle path."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC161,partially_verified,full,True,"This test asserts end-to-end delivery and explicitly claims receipt 'on behalf of' managed subscribers, supporting the requirement's delivery claim (though the phrasing is broad)."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC147,partially_verified,partial,True,"This test only documents the send step and lacks an explicit assertion that the subscriber manager actually receives, processes, or stores the notification."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC141,partially_verified,partial,True,"Asserts trace establishment (core creation behavior) but provides no evidence of storage, retrieval, multiplicity handling, or other management operations."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC142,partially_verified,partial,True,Asserts prevention of trace establishment by a non-registered subscriber (enforcement aspect) but lacks evidence of subsequent management or storage of traces.
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC143,partially_verified,partial,True,Asserts subscriber registration with the subscriber manager (prerequisite for controlled operations) but does not assert trace management behaviors themselves.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC149,partially_verified,partial,True,Documents concrete behavior for non-speculative events (store in local log) indicating distinct handling but lacks an explicit on-receipt classification assertion.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC150,partially_verified,partial,True,Documents handling of a speculative event by the subscriber manager (processing per predefined protocols) but does not assert the explicit classification action upon receipt.
RQ114,requirements.txt::chunk14,RQ114	The subscriber manager shall store information for evolutionary events in an eventlog.,TC149,partially_verified,full,True,The test explicitly states that the subscriber manager stores the event notification in the local event log for non-speculative (evolutionary) events.
RQ115,requirements.txt::chunk15,RQ115	The user shall be able to construct speculative queries using a GUI.,TC151,partially_verified,partial,True,"The test step and postcondition verify the core construction-to-event path but do not assert GUI element presence, validation, or error/boundary handling."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC150,partially_verified,partial,True,Verifies that speculative event notifications are processed but does not assert timing/latency or the explicit term 'immediately'.
RQ117,requirements.txt::chunk17,RQ117	The subscriber manager shall re execute the model using the speculative values.,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the candidate tests contain assertions that the subscriber manager re-executes a model using speculative values. Several referenced tests mention speculative events or their construction (TC150, TC151, TC162) but stop at event reception or message construction and do not assert invocation of model re-execution, parameter propagation of speculative values, model outputs, or error/edge-case behaviors."
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC162,partially_verified,partial,True,"This supplies the input data needed for impact assessment, and thus partially supports the requirement."
RQ119,requirements.txt::chunk19,RQ119	The subscriber manager shall restore the executable model to its prior state.,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the provided test cases mention or assert restoration of an executable model to a prior state, snapshots, state equality checks, rollbacks, or recovery after restart/crash. TC148 verifies downloading stored notifications on startup but does not assert restoring the executable model state, and TC149 stores incoming notifications to a local log but does not assert restoring runtime model state."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC153,partially_verified,partial,True,"Includes ""Preconditions: The trigger driver is running."" and post-condition ""A new event message is sent."", but provides no executable assertions that the driver API was invoked."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC154,partially_verified,partial,True,"States ""Preconditions: The trigger driver is running."" and expects ""A decompose event message is sent."", covering the nominal path but lacking driver-invocation assertions or mocks."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC155,partially_verified,partial,True,"States ""Preconditions: The trigger driver is running."" and expects ""A refine event message is sent."", addressing the happy path but missing concrete verification of driver usage."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC156,partially_verified,partial,True,"Specifies driver running and expects ""A modify event message is sent."", covering nominal behavior but lacking driver-call or error-path assertions."
RQ120,requirements.txt::chunk20,RQ120	The prototype system shall utilize a driver to trigger events.,TC158,partially_verified,partial,True,"Declares ""The trigger driver is running."" and expects ""A merge event message is sent."", but does not assert driver invocation, mocking, or failure handling."
RQ121,requirements.txt::chunk21,RQ121	Event types shall include adding new requirements.,TC153,assertions_verified,full,False,The test explicitly invokes an 'Add New Requirement' action and asserts the post-condition that a new event message is sent.
RQ122,requirements.txt::chunk22,RQ122	Event types shall include decomposing one requirement into two or more requirements.,TC154,assertions_verified,full,False,These lines directly assert the decompose operation that splits one requirement into two or more requirements and associated post-conditions.
RQ123,requirements.txt::chunk23,RQ123	Event types shall include refining one requirement by adding an additional requirement to the existing one.,TC155,assertions_verified,full,False,"The test steps and postconditions directly exercise and verify refining an existing requirement by adding an additional related requirement, including messaging and temporary links."
