Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC154,not_covered,weak,"TC154 details decomposing a requirement and post-conditions about temporary links and event messages, but contains no mention of storage or management in a 3rd-party RM tool (e.g., DOORS), no import/export/sync operations, nor assertions that requirements are persisted or managed in such a tool.",—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC155,not_covered,weak,TC155 describes refining a requirement and establishing temporary links; there is no evidence of interaction with or management in a 3rd-party requirements management tool like DOORS.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC156,not_covered,weak,"TC156 covers modifying a requirement and changing link status, but does not reference or verify requirements being managed in a 3rd-party RM tool (DOORS) or related integration behaviors.",—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC157,not_covered,weak,TC157 defines deletion behavior (setting obsolete status and tentative link status) but contains no assertions about management or storage of requirements in an external 3rd-party RM tool such as DOORS.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC158,not_covered,weak,"TC158 specifies merging requirements and link reassignment, but does not mention or assert that requirements are managed by a 3rd-party RM tool (DOORS) or that merge operations are coordinated with such a tool.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC141,not_covered,weak,"TC141 covers establishing a trace between a UML artifact and a requirement (happy path). Although it references UML artifacts, it does not mention management or storage of non-requirement artifacts in external 3rd-party tools, nor any integration with Rational Rose or Clear case.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC142,not_covered,weak,"TC142 describes that a non-registered subscriber attempts to establish a trace between a UML artifact and a requirement and that no trace is established. While it references a UML artifact (which is a non-requirement artifact type), it contains no assertion about management of non-requirement artifacts in 3rd-party tools (Rational Rose/Clear case) or integration with such tools.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC154,not_covered,weak,TC154 covers decomposing a requirement into sub-requirements and resulting temporary links and events. It is focused on requirement artifacts and does not address management of non-requirement artifacts in 3rd-party tools.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC155,not_covered,weak,"TC155 addresses refining a requirement and establishing temporary links. It concerns requirement artifacts and events; it does not assert any behavior related to management of non-requirement artifacts in 3rd-party tools (e.g., Rational Rose, Clear case).",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC157,not_covered,weak,TC157 covers deletion of a requirement and related link state changes. It addresses requirement lifecycle and link status but provides no evidence of managing non-requirement artifacts in external tools or interacting with Rational Rose/Clear case.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC165,not_covered,weak,TC165 describes user processing of event messages and updating links; it concerns link state changes and event removal. There is no mention of managing non-requirement artifacts in 3rd-party tools or interactions with Rational Rose/Clear case.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC141,partially_covered,partial,"This test exercises the positive case: a registered subscriber successfully establishes a trace, directly supporting the requirement's allow clause. Missing: does not assert enforcement against unregistered actors or boundary/error behaviours, so confidence is partial.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC142,partially_covered,partial,"This test explicitly exercises an unregistered subscriber attempting to create a trace and asserts that no trace is established, directly supporting the requirement's prohibition clause. It demonstrates the negative behaviour (unregistered prevented). Missing: does not show handling of edge cases (e.g., revoked registrations or manager scope), so confidence is partial.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC143,not_covered,weak,"This test focuses on successful subscriber registration as a postcondition, but does not exercise or assert trace establishment or the restriction that only registered subscribers may establish traces. It is supportive but does not directly verify the trace access control.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC144,partially_covered,partial,"This test verifies that a subscriber can register with the subscriber manager (a prerequisite step for being 'registered'). It provides indirect support for the requirement by demonstrating how a subscriber attains registered status, but it does not exercise trace creation or enforcement, so it only partially covers the requirement.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC146,not_covered,weak,This test concerns subscriber manager registration with an event server; it does not exercise subscriber trace establishment or the permission restriction in the requirement.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC149,not_covered,weak,This test deals with event notification storage for registered subscribers; it does not assert or verify any behaviour about trace establishment or access control for establishing traces.,—
RQ103,RQ103 A user shall register as a subscriber.,TC142,not_covered,weak,TC142 describes a non-registered subscriber attempting an action (establish a trace) and asserts no trace established. This documents behavior for non-registered users but does not verify that a user can register as a subscriber.,—
RQ103,RQ103 A user shall register as a subscriber.,TC143,covered,full,TC143 explicitly exercises a subscriber performing registration and asserts the postcondition that the subscriber is registered under the subscriber manager. This directly implements the requirement's action and outcome (registration).,—
RQ103,RQ103 A user shall register as a subscriber.,TC144,partially_covered,partial,"TC144 addresses a negative registration scenario (failure/abort) which is related to the registration workflow. It verifies behavior when registration is not completed, but it does not assert success of registration (the positive requirement). It therefore provides partial coverage of the registration-related behaviors (error handling) but not full positive verification.",—
RQ103,RQ103 A user shall register as a subscriber.,TC146,not_covered,weak,"TC146 concerns Subscriber Manager registering with an event server (registration of manager entity), not a user registering as a subscriber. No assertion exercises a user registering as a subscriber.",—
RQ103,RQ103 A user shall register as a subscriber.,TC147,not_covered,weak,TC147 is about event publication and subscriber manager subscriptions; it does not contain assertions that a user registers as a subscriber.,—
RQ103,RQ103 A user shall register as a subscriber.,TC149,not_covered,weak,TC149 deals with event notifications to a subscriber manager and storage in event log; it does not assert user registration behavior.,—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC143,covered,full,"TC143 explicitly executes the registration step and asserts the postcondition that the subscriber is registered under the subscriber manager, directly matching the requirement's stated behaviour.",—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC144,not_covered,weak,TC144 describes a negative scenario where the subscriber fails to register and is removed. It does not assert or verify that on registration the subscriber is registered under the control of a subscriber manager. Therefore it does not provide positive evidence for RQ104.,—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC146,not_covered,weak,"TC146 concerns the subscriber manager registering with an event server. It does not exercise or assert subscriber registration under a subscriber manager, so it does not verify RQ104.",—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC147,not_covered,weak,"TC147 is about real-time event publication and the subscriber manager's subscription; it does not assert that a subscriber, upon registration, is registered under the control of a subscriber manager, so it does not verify RQ104.",—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC149,not_covered,weak,TC149 addresses receipt and storage of non-speculative event notifications and does not exercise or assert subscriber registration under a subscriber manager; it therefore does not verify RQ104.,—
RQ104,RQ104 On registration a subscriber shall register itself under the control of a subscriber manager,TC150,not_covered,weak,"TC150 assumes as a precondition that the subscriber manager has registered subscribers but focuses on event notification processing. It does not assert the act of registration itself or verify that registration results in control by the subscriber manager, so it does not satisfy RQ104.",—
RQ105,RQ105 The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,covered,full,TC141 explicitly describes the user/subscriber action of establishing a trace between a UML artifact and a requirement and asserts the postcondition that a trace is established. This directly aligns semantically with the requirement's core behavior (establishing traces via subscription).,—
RQ105,RQ105 The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,partially_covered,partial,TC142 provides a negative/error scenario showing that an unregistered subscriber cannot establish a trace. This addresses an error path related to the act of establishing traces but does not by itself demonstrate successful subscription mechanics; therefore it partially supports the requirement by covering an error case.,—
