Requirement Id,Description,Test,Verdict,Verdict Confidence,Reason,Supporting Files
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC154,not_covered,weak,TC154 describes decomposing a requirement and related event messages/links but does not mention DOORS or any 3rd-party requirements management tool; no evidence that requirements are managed in DOORS.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC155,not_covered,weak,TC155 describes refining a requirement and temporary links but contains no mention of DOORS or management in a 3rd-party tool.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC156,not_covered,weak,TC156 describes modifying a requirement and tentative link status but provides no indication that requirements are managed in DOORS or another 3rd-party RM tool.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC158,not_covered,weak,TC158 describes merging requirements and link reassignment but does not reference DOORS or external requirements management; no evidence for requirement.,—
RQ100,RQ100 Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_covered,partial,"This test explicitly references DOORS and shows the system interacts with DOORS to obtain requirement-related information, which provides direct evidence of use of DOORS. However, it is a scenario-specific use (polling for quantitative info during composite event construction) and does not fully demonstrate that requirements are managed in DOORS for all CRUD operations, nor does it show authoritative management, synchronization, or error handling. Therefore coverage is partial.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC141,not_covered,weak,"TC141 covers establishing a trace between a UML artifact and a requirement but does not assert that non-requirement artifacts are managed in third-party tools like Rational Rose or ClearCase, nor does it test tool-based management, storage, versioning, or synchronization.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC142,not_covered,weak,TC142 describes a non-registered subscriber attempting to establish a trace and that no trace is established. It does not mention management of non-requirement artifacts in third-party tools (Rational Rose or ClearCase) or any integration/management behavior required by RQ101.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC154,not_covered,weak,"TC154 describes decomposing a requirement and creation of temporary links; it addresses requirement-level operations and messaging, not management of non-requirement artifacts in third-party tools like Rational Rose or ClearCase.",—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC155,not_covered,weak,TC155 addresses refining a requirement and establishing temporary links; it does not verify storage or management of non-requirement artifacts in third-party tools (Rational Rose or ClearCase).,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC157,not_covered,weak,TC157 covers deleting a requirement and related link status changes; it does not address management of non-requirement artifacts in third-party tools named by RQ101.,—
RQ101,RQ101 Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,TC162,not_covered,weak,"TC162 references polling DOORS (a 3rd-party requirements tool) for related requirements' quantitative info. This concerns requirement artifacts in DOORS, not management of non-requirement artifacts in Rational Rose or ClearCase. TC162 does not assert the management, storage, versioning, or synchronization of non-requirement artifacts in the tools named by RQ101.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC141,partially_covered,partial,This test asserts that a registered subscriber can establish a trace (positive/happy path). It demonstrates allowance but does not cover the negative enforcement for non-registered subscribers on its own.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC142,partially_covered,partial,This test explicitly asserts the negative aspect of the requirement (non-registered subscriber attempts trace and no trace is established). It addresses the 'only registered' restriction but does not by itself demonstrate the positive allowance for registered subscribers.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC143,partially_covered,partial,"This test verifies the registration action and that a subscriber becomes registered (a necessary precondition for allowing traces). It does not itself assert trace-establishment behavior, but supports the requirement by producing registered subjects.",—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC144,not_covered,weak,This test describes a subscriber failing to register and being removed; it does not assert behavior about establishing traces (no direct assertion that an unregistered subscriber attempted a trace and was blocked).,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC146,not_covered,weak,This test describes registration of the subscriber manager with an event server and does not address subscriber trace-establishment permissions.,—
RQ102,RQ102 Only registered subscribers shall be allowed to establish traces.,TC149,not_covered,weak,This test concerns event notification handling for registered subscribers and storage in an event log; it does not address trace-establishment permission.,—
RQ103,RQ103 A user shall register as a subscriber.,TC142,not_covered,weak,TC142 describes behaviour of a non-registered subscriber attempting to establish a trace and the expected denial. This exercises the system's behaviour when not registered but does not verify that users can complete registration.,—
