Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_verified,partial,True,"This sentence demonstrates integration with DOORS to retrieve requirement-related data (supporting use of DOORS) but does not verify management lifecycle, authoritative persistence, synchronization, or error handling."
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,NO_TEST_CASE,no_assertion_evidence,weak,True,"None of the provided tests explicitly assert management of non-requirement artifacts in the third-party tools named by the requirement (Rational Rose, ClearCase). Available tests focus on trace establishment, subscriber authorization, requirement lifecycle operations, and polling DOORS, which is a requirements tool and does not demonstrate the specified non-requirement artifact management. Therefore there is no assertion evidence that RQ101 is implemented."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,assertions_verified,partial,False,"Directly asserts the positive (registered) behaviour via a postcondition, but uses high-level narrative rather than explicit assertion detail."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,assertions_verified,partial,False,"Directly asserts the negative (unregistered) behaviour via a postcondition, but uses high-level narrative rather than explicit assertion detail."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,partially_verified,full,True,"The quoted steps and postcondition explicitly describe and assert that a subscriber performs registration and that, after the action, the subscriber is recorded as registered."
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,assertions_verified,full,False,Test chunk text includes the lines 'The subscriber registers itself with the subscriber manager.' and 'Postconditions The subscriber is registered under the subscriber manager.'
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,assertions_verified,full,False,Direct match to the requirement's core behavior: establishes a trace from an artifact to a requirement and asserts the trace exists.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,assertions_verified,partial,False,"Covers a negative/error path (unregistered subscriber) that prevents trace/subscription establishment, but does not demonstrate successful establishment."
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC143,partially_verified,partial,True,Direct assertion that a subscriber is registered under a subscriber manager provides concrete evidence for that artifact type but is limited to one artifact type and one happy path.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC144,partially_verified,partial,True,Shows enforcement when registration does not occur (negative path) but removes the artifact rather than demonstrating placement under a subscriber manager.
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC147,partially_verified,partial,True,"Indicates subscriber managers are associated with requirements and receive notifications, implying assignment relationships but not mandatory placement of every artifact."
RQ106,requirements.txt::chunk6,RQ106	Each artifact shall be placed under the control of a subscriber manager,TC162,partially_verified,partial,True,Demonstrates artifact-to-subscriber mapping for event construction and notification but does not prove universal mandatory assignment of all artifacts to subscriber managers.
RQ107,requirements.txt::chunk7,RQ107	The user shall be able to delete subscriptions.,TC145,assertions_verified,full,False,"The test step performs the delete action and the postcondition asserts the subscription no longer exists, directly verifying the requirement."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC146,assertions_verified,full,False,"Directly asserts the subscriber manager registers its identifying contact information and is registered with the event server, covering the registration clause of RQ108."
RQ108,requirements.txt::chunk8,RQ108	A subscriber manager shall register itself with the eventserver so that it may receive relevant event messages.,TC161,assertions_verified,full,False,"Directly asserts that the event server uses subscriber manager contact information to send notifications and that subscriber managers receive the event messages, covering the reception clause of RQ108."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC147,partially_verified,partial,True,"Contains an explicit online precondition and an event sent in 'real time', but does not assert that the server initiated a push-model delivery or measure timing bounds."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC149,partially_verified,partial,True,"Documents server sending and manager receipt/storage, supporting push semantics, but lacks explicit online-state precondition and any timing/latency assertions."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC150,partially_verified,partial,True,"Shows sending and processing by the subscriber manager, but does not assert that delivery used a server-initiated push model or that delivery met real-time timing constraints."
RQ109,requirements.txt::chunk9,RQ109	If the subscriber manager is online; the push model shall be used to send it event notifications in real time.,TC161,partially_verified,partial,True,"Most directly documents the server building and sending notifications to subscriber manager endpoints (implying push), but it lacks explicit assertions of online precondition validation and measurable 'real time' delivery bounds."
RQ110,requirements.txt::chunk10,RQ110	Whenever the subscriber manager first comes on line; it shall implement the pull model to retrieve outstanding event messages from the eventserver.,TC148,partially_verified,partial,True,"The test asserts the observed download of outstanding notifications on startup but does not assert that the retrieval was performed by subscriber-initiated pull requests, nor does it cover backlog or error cases."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC148,assertions_verified,full,False,"Postcondition that the subscriber manager ""has successfully downloaded the relevant event notifications"" demonstrates receipt of notifications intended for its managed artifacts."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC149,assertions_verified,full,False,"Direct assertion that the subscriber manager ""receives the event notification"" and stores it matches the requirement's core behavior."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC150,assertions_verified,full,False,"Direct assertion that the subscriber manager ""receives the event notification"" and processes it supports the requirement's core behavior."
RQ111,requirements.txt::chunk11,RQ111	A subscriber manager shall receive event notifications on behalf of the artifacts that it manages.,TC161,assertions_verified,full,False,"Explicit postcondition that the event message is ""received by each relevant subscriber manager or behalf of its managed subscribers"" directly matches the requirement wording."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC141,partially_verified,partial,True,"Directly asserts creation of a trace for a single artifact but does not cover multi-artifact management, lifecycle, querying, persistence, or concurrency."
RQ112,requirements.txt::chunk12,RQ112	A subscriber manager shall manage traces for one or more artifacts.,TC142,partially_verified,partial,True,"Asserts that a non-registered subscriber cannot create a trace (access/control), which covers an error path but not broader management behaviors."
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC152,partially_verified,full,True,"Directly asserts that the subscriber manager identifies a received event as speculative, covering the speculative side of the requirement."
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC149,partially_verified,weak,True,Shows receipt and storage for a non-speculative event but lacks an explicit assertion that the event was classified as evolutionary or that differentiation logic executed.
RQ113,requirements.txt::chunk13,RQ113	On receipt of an event message; the subscriber manager shall differentiate between speculative and evolutionary events.,TC150,partially_verified,weak,True,Only asserts receipt/processing of speculative notifications without an explicit assertion that the message was classified as speculative versus evolutionary.
RQ114,requirements.txt::chunk14,RQ114	The subscriber manager shall store information for evolutionary events in an eventlog.,TC149,assertions_verified,full,False,"The test postcondition directly asserts that the event notification message is stored in the local event log, and the mapper notes non-speculative events correspond to evolutionary events, satisfying the requirement."
RQ115,requirements.txt::chunk15,RQ115	The user shall be able to construct speculative queries using a GUI.,TC151,assertions_verified,full,False,"The test step explicitly exercises GUI construction of a speculative query and the postcondition asserts the expected outcome (speculative event message), directly verifying the requirement."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC150,partially_verified,partial,True,"This fragment confirms receipt and that processing occurs under predefined protocols, aligning with the functional processing aspect, but it does not assert immediacy or quantify processing latency."
RQ116,requirements.txt::chunk16,RQ116	The subscriber manager shall immediately process speculative events.,TC152,partially_verified,partial,True,"The quoted test fragment demonstrates that the subscriber manager recognizes and executes the processing steps for a speculative event and returns a response, but it lacks any assertion about 'immediately' (timing) or priority/latency behavior."
RQ117,requirements.txt::chunk17,RQ117	The subscriber manager shall re execute the model using the speculative values.,TC152,assertions_verified,full,False,"The test step explicitly describes injection of values, model re-execution, result collation, state restoration, and returning results, directly matching the requirement."
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC152,partially_verified,partial,True,Shows the subscriber manager runs the model and returns results but does not assert that the returned results indicate whether other requirements/constraints are negatively impacted.
RQ118,requirements.txt::chunk18,RQ118	The subscriber manager shall report results indicating whether the speculative change negatively impacts other requirements and constraints.,TC162,partially_verified,weak,True,Demonstrates packaging of related requirement constraints by the event server but does not assert that the subscriber manager evaluates or reports negative impacts based on those constraints.
RQ119,requirements.txt::chunk19,RQ119	The subscriber manager shall restore the executable model to its prior state.,TC152,assertions_verified,full,False,"The test's steps and postconditions explicitly state that the model is restored to its prior/original state, directly verifying the requirement."
