Requirement Id,Chunk,Description,Test,Verdict,Confidence,Gap,Reasoning
RQ100,requirements.txt::chunk0,RQ100	Requirements shall be managed in a 3rd party requirements management tool such as DOORS.,TC162,partially_verified,partial,True,"This test shows runtime polling of DOORS which supports that DOORS is used, but it does not assert CRUD operations, authoritative storage, synchronization, error handling, or access/audit behavior."
RQ101,requirements.txt::chunk1,RQ101	Non-requirement artifacts shall be managed in 3rd party tools such as Rational Rose or Clear case,NO_TEST_CASE,no_assertion_evidence,weak,True,No candidate tests were provided and no assertion lines exist that verify RQ101. The available traceability analysis explicitly states that none of the examined tests assert that non-requirement artifacts are managed in the specified third-party tools (Rational Rose or ClearCase). Therefore there is no evidence that the requirement is being verified.
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC141,assertions_verified,full,False,"The postcondition explicitly asserts successful trace establishment when the precondition states the subscriber is registered, directly verifying the positive case of the requirement."
RQ102,requirements.txt::chunk2,RQ102	Only registered subscribers shall be allowed to establish traces.,TC142,assertions_verified,full,False,"The postcondition explicitly asserts that no trace is created when the precondition states the subscriber is not registered, directly verifying the negative case of the requirement."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC143,assertions_verified,full,False,"Direct positive assertion that the subscriber registers and is registered under the subscriber manager, matching the requirement."
RQ103,requirements.txt::chunk3,RQ103	A user shall register as a subscriber.,TC144,assertions_verified,partial,False,Provides a negative/abort outcome relevant to registration workflow but does not assert successful registration required by the requirement.
RQ104,requirements.txt::chunk4,RQ104	On registration a subscriber shall register itself under the control of a subscriber manager,TC143,assertions_verified,full,False,"TC143's step and postcondition explicitly assert the subscriber registers itself with and is registered under the subscriber manager, matching the requirement."
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC141,partially_verified,partial,True,Covers happy-path trace creation for a UML artifact but does not use the term 'subscription' or show artifact-initiated subscription or other artifact types.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC142,partially_verified,partial,True,Provides a negative authorization/error case for UML artifacts but does not demonstrate broader failure modes or artifact-initiated subscription behavior.
RQ105,requirements.txt::chunk5,RQ105	The user shall establish traces between requirements and other types of artifacts by establishing a subscription from an artifact to the relevant requirement,TC147,partially_verified,partial,True,Shows subscriptions exist and notifications are delivered but does not show creation of a subscription from an artifact to a requirement or support for non-UML artifact types.
